#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
6.22096e+18	5.1844e+03	3.342e-22	1.0000e+01	1.0871e+01	2.1120e-18	6.4611e-05	9.9994e-01	5.6868e-04	9.9941e-01	2.3279e-05	2.4509e-26	1.5839e-07	1.0356e-02	9.8113e-01	8.5129e-03	1.3838e-06	4.6743e-02	9.5324e-01	1.1363e-05	1.1755e-36	1.1755e-36	6.0435e-35	0.00e+00	0.00e+00	2.8894e-02
8.15223e+18	5.1584e+03	3.331e-22	1.0000e+01	1.0871e+01	2.0579e-18	6.4556e-05	9.9994e-01	5.7015e-04	9.9943e-01	3.5755e-06	2.4019e-26	1.5868e-07	1.0390e-02	9.8130e-01	8.3110e-03	1.4004e-06	4.7122e-02	9.5287e-01	1.8941e-06	1.1755e-36	1.1755e-36	5.5872e-35	0.00e+00	0.00e+00	3.7791e-02
1.06629e+19	5.1274e+03	3.317e-22	1.0000e+01	1.0871e+01	2.0652e-18	6.4517e-05	9.9994e-01	5.7229e-04	9.9943e-01	4.1877e-07	2.4163e-26	1.5918e-07	1.0437e-02	9.8150e-01	8.0594e-03	1.4225e-06	4.7618e-02	9.5238e-01	2.4470e-07	1.1755e-36	1.1755e-36	5.4729e-35	0.00e+00	0.00e+00	4.9350e-02
1.39267e+19	5.0908e+03	3.301e-22	1.0000e+01	1.0871e+01	1.9924e-18	6.4508e-05	9.9994e-01	5.7533e-04	9.9942e-01	4.0512e-08	2.3615e-26	1.5998e-07	1.0503e-02	9.8175e-01	7.7468e-03	1.4518e-06	4.8271e-02	9.5173e-01	1.1755e-36	1.1755e-36	1.1755e-36	4.9121e-35	0.00e+00	0.00e+00	6.4374e-02
1.81697e+19	5.0482e+03	3.282e-22	1.0000e+01	1.0871e+01	1.9968e-18	6.4548e-05	9.9994e-01	5.7967e-04	9.9942e-01	3.3856e-09	2.3910e-26	1.6122e-07	1.0594e-02	9.8204e-01	7.3614e-03	1.4909e-06	4.9131e-02	9.5087e-01	1.1755e-36	1.1755e-36	1.1755e-36	4.7551e-35	0.00e+00	0.00e+00	8.3918e-02
2.15964e+19	4.9885e+03	3.260e-22	1.0000e+01	1.0871e+01	1.9843e-18	6.4250e-05	9.9994e-01	5.8031e-04	9.9942e-01	5.2873e-10	2.3582e-26	1.6092e-07	1.0623e-02	9.8230e-01	7.0797e-03	1.5159e-06	4.9677e-02	9.5032e-01	1.1755e-36	1.1755e-36	1.1755e-36	4.4442e-35	0.00e+00	0.00e+00	9.2260e-02
2.37560e+19	4.9682e+03	3.252e-22	1.0000e+01	1.0871e+01	1.9213e-18	6.4280e-05	9.9994e-01	5.8253e-04	9.9942e-01	1.9796e-10	2.3136e-26	1.6157e-07	1.0669e-02	9.8243e-01	6.9018e-03	1.5357e-06	5.0106e-02	9.4989e-01	1.1755e-36	1.1755e-36	1.1755e-36	4.0882e-35	0.00e+00	0.00e+00	1.0144e-01
2.61316e+19	4.9468e+03	3.242e-22	1.0000e+01	1.0871e+01	1.8792e-18	6.4328e-05	9.9994e-01	5.8510e-04	9.9941e-01	7.2382e-11	2.2898e-26	1.6233e-07	1.0721e-02	9.8257e-01	6.7114e-03	1.5581e-06	5.0585e-02	9.4941e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.8315e-35	0.00e+00	0.00e+00	1.1155e-01
2.87448e+19	4.9249e+03	3.232e-22	1.0000e+01	1.0871e+01	1.8787e-18	6.4390e-05	9.9994e-01	5.8802e-04	9.9941e-01	2.5852e-11	2.3098e-26	1.6323e-07	1.0781e-02	9.8271e-01	6.5086e-03	1.5829e-06	5.1117e-02	9.4888e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.7647e-35	0.00e+00	0.00e+00	1.2267e-01
3.16192e+19	4.9032e+03	3.221e-22	1.0000e+01	1.0871e+01	1.8734e-18	6.4463e-05	9.9994e-01	5.9138e-04	9.9941e-01	9.0259e-12	2.3421e-26	1.6432e-07	1.0851e-02	9.8285e-01	6.2944e-03	1.6185e-06	5.1961e-02	9.4804e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.7015e-35	0.00e+00	0.00e+00	1.3493e-01
